weeknum,dateweek,month,year,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,state21,state22,state23,state24,state25,state26,state27,state28,state29,state30,state31,state32,state33,state34,state35,state36,state37,state38,state39,state40,state41,state42,state43,state44,state45,state46,state47,state48,state49,state50,state51,state52
10,12-Mar-89,3,1989,0.00908443,0.001525572,0.003489287,0.007454287,0.006172715,0.002365858,0.004026287,0.004416001,0.00519443,0.010588572,0.00823343,0.014001572,0.002823715,0.003888572,0.004817572,0.003056144,0.004072715,0.006309001,0.010586001,0.003002715,0.004972144,0.003688715,0.003293287,0.002340144,0.009234715,0.004912715,0.00301543,0.003231858,0.002444144,0.003298572,0.004596287,0.00236143,0.003873144,0.006978858,0.001778858,0.004471287,0.00622543,0.004544287,0.004205858,0.004255287,0.008206144,0.002743858,0.00757543,0.009307287,0.002746572,0.002832001,0.005823715,0.003686144,0.005456001,0.002704144,0.002520715,0.012167144
11,19-Mar-89,3,1989,0.007978715,0.002882715,0.003011001,0.005573144,0.007026715,0.00245043,0.003176858,0.003967144,0.004083144,0.011588287,0.006938572,0.014901858,0.003129572,0.003126144,0.003523001,0.003011001,0.003511144,0.004843715,0.009788715,0.002575715,0.003968715,0.003072001,0.002897144,0.002496287,0.00774843,0.003869572,0.003134572,0.002887001,0.002775144,0.002693858,0.00377343,0.002991715,0.00295943,0.005703144,0.002417001,0.003209858,0.005067715,0.004757001,0.003327715,0.003483572,0.006822144,0.003069572,0.006165858,0.008116715,0.003886715,0.002436144,0.004380001,0.003452144,0.004159572,0.002809858,0.002985001,0.012434144
12,26-Mar-89,3,1989,0.009859144,0.001945001,0.005340858,0.009702715,0.006443715,0.002773858,0.005588858,0.006511144,0.008459858,0.01241643,0.008640144,0.014925287,0.00301743,0.006621287,0.00738543,0.005727572,0.007960001,0.00848843,0.011546572,0.003830572,0.00823543,0.005100715,0.005837715,0.004188858,0.010545287,0.008157144,0.003004715,0.005847572,0.003027144,0.004587572,0.006858572,0.003041287,0.005946858,0.009294572,0.003811287,0.006978144,0.009293858,0.00451643,0.007438287,0.00542143,0.009534858,0.004713001,0.008987715,0.010340858,0.004008144,0.004588715,0.008828715,0.003471715,0.007865572,0.005429572,0.002956715,0.012156715
13,2-Apr-89,4,1989,0.008155287,0.002327144,0.004365572,0.007296858,0.00741243,0.002770144,0.005922001,0.005738858,0.00659543,0.010331715,0.006897858,0.01269443,0.003250287,0.00489343,0.005459144,0.00382843,0.00509043,0.006287001,0.010257144,0.004807715,0.006500001,0.005976858,0.004723287,0.003555572,0.008606144,0.005593001,0.003316144,0.00360743,0.002579858,0.005317287,0.006475001,0.002881001,0.005699572,0.006729572,0.003367572,0.00513743,0.006551144,0.005769144,0.005643144,0.005912144,0.006965715,0.003412572,0.006921858,0.009427858,0.004064858,0.004671144,0.00653843,0.003972287,0.005951715,0.003846858,0.002524572,0.013052858
14,9-Apr-89,4,1989,0.006297287,0.002837144,0.004271858,0.00482743,0.007295715,0.002425858,0.003637858,0.004415858,0.004294144,0.011627287,0.006005144,0.013255144,0.002832572,0.00305143,0.003538287,0.002883715,0.003604144,0.004114715,0.007780144,0.003189715,0.004146144,0.003451715,0.003206715,0.00263043,0.006080001,0.003822572,0.002914715,0.00280843,0.002066572,0.003116001,0.004156001,0.003116287,0.003460144,0.004887287,0.002742144,0.003554144,0.004752287,0.00583643,0.003610572,0.00393043,0.005986001,0.002622572,0.004685572,0.006252858,0.003728858,0.002826144,0.004345001,0.00377243,0.00379343,0.002528572,0.001911287,0.012635287
15,16-Apr-89,4,1989,0.009102144,0.00326243,0.003983858,0.008631001,0.006290001,0.003474287,0.004846287,0.005911858,0.00625343,0.012724287,0.008413001,0.012373715,0.004085858,0.005340287,0.005735001,0.00515143,0.007193858,0.007000287,0.010144001,0.004161572,0.006024858,0.004829715,0.00433143,0.004140287,0.008675715,0.007109144,0.004302572,0.005478001,0.002657144,0.004417715,0.005621572,0.003257001,0.004601572,0.007374001,0.003618715,0.005371715,0.009644001,0.006365144,0.005038858,0.005206572,0.008477144,0.004482144,0.007549715,0.011289287,0.004832715,0.003923144,0.006332572,0.004491858,0.006185287,0.004389287,0.003365715,0.013223858
16,23-Apr-89,4,1989,0.012514572,0.003981287,0.003009715,0.012960287,0.004171144,0.00253643,0.00364043,0.005363858,0.006318715,0.010910572,0.011873858,0.013840287,0.002858001,0.00843143,0.01016343,0.009641715,0.010891858,0.01188743,0.01290443,0.003173001,0.00576443,0.003467572,0.00540643,0.006853858,0.012302144,0.01175043,0.004025572,0.008717144,0.00219243,0.00315743,0.004507287,0.002155144,0.003726001,0.010800715,0.005202715,0.006625572,0.012187715,0.005348858,0.004752144,0.003920001,0.011657001,0.00820943,0.012436144,0.01232243,0.003433572,0.003063001,0.007394858,0.004222144,0.008663001,0.005625001,0.003199858,0.013209572
17,30-Apr-89,4,1989,0.010932715,0.003789144,0.003440715,0.00823143,0.005919715,0.003197144,0.007593001,0.007914572,0.008997858,0.013368001,0.00996643,0.012738858,0.003622287,0.004910144,0.00593243,0.004495572,0.005162572,0.007761287,0.012782858,0.006237858,0.008641858,0.00689343,0.005073858,0.00428643,0.010330572,0.005909287,0.003982287,0.00456443,0.002687144,0.006473572,0.00810543,0.002776001,0.007399715,0.010241715,0.00339643,0.006219001,0.007535287,0.007769572,0.007774287,0.007226287,0.010674715,0.004067287,0.008818001,0.01245043,0.004319287,0.006122144,0.009316144,0.005566858,0.00807743,0.004768001,0.003002144,0.013245715
18,7-May-89,5,1989,0.008546715,0.003678287,0.004119144,0.008166572,0.00608843,0.004140144,0.006646287,0.007016572,0.00688143,0.009328144,0.007249858,0.015138858,0.004950001,0.00453443,0.005458572,0.00490543,0.006792144,0.00633343,0.010830572,0.006858287,0.006830715,0.00682243,0.004862858,0.005380572,0.00893443,0.006473572,0.005398144,0.005130144,0.003464287,0.00659343,0.006782001,0.003467572,0.006276858,0.006364858,0.005051144,0.005741287,0.008958287,0.006962144,0.006324858,0.007081001,0.007091715,0.005148715,0.007030572,0.012861144,0.005115144,0.00623043,0.006566858,0.005298858,0.00625243,0.00461043,0.004836858,0.013233001
19,14-May-89,5,1989,0.012512858,0.00373943,0.005053287,0.012882715,0.005427001,0.004140715,0.008697144,0.008486287,0.009563001,0.012987858,0.009868715,0.014573287,0.003709858,0.00830043,0.008774287,0.008358144,0.009833858,0.009666858,0.016529715,0.008138001,0.009445572,0.008139144,0.00807843,0.008942287,0.014188001,0.010170572,0.004327715,0.008207715,0.003491858,0.008281001,0.008817287,0.003452572,0.008772715,0.009074858,0.006808858,0.008349715,0.01288543,0.005596144,0.00911543,0.008325858,0.009684001,0.007166287,0.01041943,0.015958715,0.004546715,0.007943287,0.009273001,0.004759287,0.009184287,0.00828243,0.004067144,0.012496572
20,21-May-89,5,1989,0.01647643,0.003771287,0.003079144,0.01525443,0.00437143,0.003175715,0.010188001,0.010261001,0.01189043,0.013955572,0.013802858,0.01548843,0.003082715,0.009176858,0.010311572,0.008655715,0.011217858,0.012063858,0.017360858,0.009009572,0.011547287,0.009465144,0.00854143,0.008009715,0.016986287,0.012119287,0.003470144,0.008141715,0.002157572,0.00922843,0.010857001,0.002823858,0.009811715,0.012584001,0.005382715,0.010214572,0.015426858,0.005664144,0.010476287,0.009973715,0.013031287,0.006449144,0.013820144,0.016683572,0.003513572,0.008896715,0.011853715,0.004686715,0.011793572,0.007959858,0.002371715,0.012142144
21,28-May-89,5,1989,0.015304001,0.004810715,0.00397243,0.014978144,0.003697715,0.004163001,0.010641144,0.01146043,0.012390001,0.014787001,0.01399843,0.015081001,0.004454858,0.011806287,0.012802001,0.010594144,0.012737715,0.01349743,0.016991715,0.008938001,0.012285287,0.010022572,0.01125143,0.00811743,0.015888144,0.012822715,0.005389287,0.009512858,0.002644858,0.009448572,0.011736144,0.004059858,0.010436001,0.012993715,0.005973572,0.011955858,0.01395343,0.007641001,0.011313572,0.010616287,0.014000572,0.006803572,0.013842572,0.014135144,0.004615715,0.009009144,0.012186144,0.006952001,0.013178572,0.010007144,0.004448144,0.012966572
22,4-Jun-89,6,1989,0.01510543,0.004857001,0.003769715,0.013019715,0.006652572,0.005191144,0.011836001,0.012623001,0.014305287,0.015558144,0.014144001,0.015618715,0.00548443,0.00965843,0.010278001,0.008472001,0.010876287,0.012182858,0.01693543,0.009460001,0.013830858,0.010985287,0.010112572,0.00772543,0.014669858,0.010585001,0.006167858,0.007882858,0.004420001,0.010022572,0.012675858,0.003399001,0.01128343,0.01485143,0.006216287,0.010407144,0.012803858,0.007774144,0.012032287,0.011921572,0.015066715,0.005419572,0.013315572,0.014926715,0.006470001,0.009493858,0.014680572,0.006912001,0.01268243,0.008916715,0.006081144,0.013639715
23,11-Jun-89,6,1989,0.015963858,0.004928572,0.005215001,0.012677715,0.006072001,0.005451572,0.010646572,0.012421572,0.013843572,0.016219858,0.014469572,0.01563343,0.005833572,0.00960443,0.010478572,0.008451572,0.010186858,0.012327715,0.016456858,0.008047715,0.01343443,0.009699287,0.008958144,0.007796572,0.015400001,0.010750858,0.00658343,0.007967144,0.00413143,0.008890287,0.011850001,0.004790715,0.010242287,0.014339287,0.007455001,0.010653715,0.012245001,0.00814143,0.011729001,0.010584572,0.014432287,0.007038715,0.013604572,0.014476572,0.006230287,0.008251287,0.014032287,0.006797287,0.012255572,0.008431715,0.005031287,0.013492001
24,18-Jun-89,6,1989,0.016204572,0.005389572,0.004676144,0.01565343,0.004593144,0.004863858,0.013305858,0.013966287,0.015007572,0.016399287,0.014559572,0.015072001,0.004262572,0.013730858,0.014126001,0.011725144,0.012737144,0.013999287,0.017782001,0.011543144,0.014629858,0.012566001,0.012845144,0.011629572,0.01678443,0.014367858,0.004963287,0.009949144,0.002785287,0.012349858,0.013821001,0.004378715,0.01280843,0.015224572,0.007744715,0.013024858,0.014877715,0.007141287,0.013296715,0.012940001,0.015586144,0.007904001,0.014266715,0.015471715,0.004591001,0.011986572,0.015390144,0.005931858,0.01413943,0.012437144,0.004116144,0.014023858
25,25-Jun-89,6,1989,0.017685287,0.006596572,0.00533243,0.016689572,0.006558715,0.004870144,0.012020858,0.01367843,0.014761001,0.017107144,0.016521858,0.014920572,0.004719572,0.013122287,0.013559858,0.01247943,0.014876001,0.01523843,0.017970715,0.011296001,0.014460001,0.011285287,0.011553572,0.012108715,0.017711572,0.014865858,0.00564943,0.013501287,0.003271858,0.011085287,0.013246144,0.00405943,0.011924144,0.015208572,0.008576858,0.013358715,0.015887287,0.00769343,0.01337743,0.012009001,0.015681858,0.011201001,0.016284287,0.015728715,0.00445743,0.011140144,0.014894287,0.00645843,0.01519343,0.010727572,0.004627572,0.013711572
26,2-Jul-89,7,1989,0.016936287,0.007250858,0.006308001,0.016233001,0.004774287,0.004326144,0.013570001,0.015438572,0.015406572,0.017613715,0.01562443,0.015312858,0.004196715,0.014495144,0.015304858,0.011327572,0.012795287,0.015533287,0.017931001,0.011871572,0.015242287,0.012983858,0.013533572,0.012705572,0.016374287,0.014520572,0.005395858,0.014012572,0.003251001,0.012542287,0.01497143,0.005232287,0.013432144,0.01541043,0.008934858,0.014870287,0.01529043,0.007975572,0.014705572,0.013671715,0.016138715,0.011772715,0.015212858,0.016482287,0.00424943,0.012662858,0.014865858,0.00587443,0.015343001,0.012055287,0.003969001,0.013895144
27,9-Jul-89,7,1989,0.017831144,0.008068287,0.008480001,0.017275858,0.005247572,0.006300287,0.012144001,0.014501858,0.015036001,0.017786287,0.016400001,0.01582143,0.005416858,0.014799715,0.015456144,0.012670001,0.015155715,0.016112287,0.018972144,0.010183572,0.014507858,0.011493001,0.012530287,0.012727001,0.017752858,0.015263858,0.007394144,0.013004144,0.004327287,0.010513001,0.013104572,0.006796001,0.011420858,0.016341858,0.009241287,0.014448715,0.017248144,0.008998287,0.013271858,0.01242943,0.017233287,0.011266144,0.016605858,0.014903858,0.00658743,0.01009643,0.01572943,0.008038572,0.016366001,0.012292287,0.006694572,0.014474144
28,16-Jul-89,7,1989,0.016703144,0.007117572,0.009282001,0.014581715,0.00648143,0.005855572,0.012217572,0.015199715,0.015377287,0.01805843,0.015548715,0.016097287,0.00645443,0.012104858,0.012487287,0.011036572,0.011901858,0.013130715,0.018713286,0.011179858,0.015031715,0.011936287,0.01177343,0.010733572,0.016822287,0.012701001,0.007525572,0.011281001,0.00483743,0.011845572,0.013888144,0.008202715,0.012245572,0.015874287,0.008792144,0.012280715,0.014453001,0.009092715,0.013610715,0.01241043,0.01704743,0.009890572,0.014442287,0.01201943,0.006161001,0.011281715,0.015622715,0.007359572,0.01432743,0.010577287,0.005826144,0.015414715
29,23-Jul-89,7,1989,0.017749001,0.006570715,0.011708715,0.016483715,0.00526343,0.007328144,0.014755287,0.01605043,0.016755144,0.01742343,0.016595715,0.016350001,0.005320858,0.015664858,0.015740572,0.014702001,0.013762144,0.01697243,0.017965715,0.013097287,0.016538287,0.014260858,0.014191001,0.012704572,0.017057572,0.01532343,0.007827715,0.012672715,0.006172572,0.013562858,0.015902715,0.008845144,0.013875144,0.016538858,0.00972943,0.015443858,0.014960144,0.00888643,0.015344572,0.015089858,0.016967858,0.011307572,0.01689543,0.013905572,0.007325144,0.013112001,0.01668943,0.007509572,0.016571287,0.013518858,0.007521144,0.014736858
30,30-Jul-89,7,1989,0.018378287,0.007500001,0.01141043,0.017897572,0.004957144,0.007101572,0.013233144,0.014516715,0.014610715,0.018241572,0.017073001,0.01536543,0.004534144,0.015421001,0.016295429,0.014893572,0.016679287,0.016373715,0.018621429,0.010952858,0.014370287,0.012508287,0.01371343,0.013213858,0.01793843,0.016704144,0.006839858,0.014303144,0.00421443,0.012032715,0.013777715,0.008760287,0.012738144,0.016120858,0.010486144,0.014835858,0.01684243,0.008451715,0.013247144,0.013524144,0.017048572,0.012477287,0.017427001,0.015851715,0.005918858,0.011811287,0.014889001,0.00719043,0.015863287,0.014403715,0.006059144,0.014976572
31,6-Aug-89,8,1989,0.014687572,0.007760144,0.012240572,0.012660572,0.006397001,0.006681572,0.012020001,0.013266858,0.012976144,0.017647144,0.013322144,0.015808001,0.005786287,0.010167287,0.011142287,0.007410001,0.00876643,0.011483287,0.015788858,0.011536287,0.012801144,0.012071715,0.010315715,0.007506144,0.014367572,0.009751144,0.006639572,0.00725643,0.007833287,0.01113043,0.012842715,0.00743743,0.011031858,0.012705858,0.006450001,0.011397715,0.011122858,0.009360001,0.011486715,0.012881715,0.013752572,0.00773143,0.012471715,0.01343743,0.00644143,0.010684858,0.01277143,0.007628858,0.012039144,0.009365858,0.006804715,0.014435144
32,13-Aug-89,8,1989,0.015386858,0.007158287,0.012365144,0.014004287,0.004799572,0.006212144,0.01383443,0.015727001,0.015382858,0.017926287,0.014683572,0.01628843,0.004766572,0.01151243,0.012174001,0.010099144,0.01247843,0.013271287,0.016884715,0.01208643,0.015008572,0.013563144,0.010824144,0.010242287,0.015167572,0.012636858,0.006301144,0.011007715,0.004879144,0.012507858,0.015012715,0.00784943,0.012799144,0.015174572,0.008391715,0.012329858,0.014928572,0.008433144,0.013337287,0.01468643,0.015605715,0.009910715,0.014091715,0.014166001,0.00658143,0.011384572,0.01538343,0.007014858,0.013697715,0.009723001,0.006182144,0.014108572
33,20-Aug-89,8,1989,0.018757858,0.006382715,0.008015858,0.018168001,0.006401144,0.004966715,0.011534001,0.014998572,0.01506043,0.018373858,0.01727643,0.015362287,0.005365858,0.01454643,0.015866001,0.014156287,0.017416715,0.01644343,0.019367858,0.00913743,0.014596287,0.010845144,0.01144943,0.01210143,0.018640144,0.01718043,0.006405715,0.01424443,0.003623572,0.009907572,0.013068144,0.006399144,0.010977144,0.016849572,0.010562572,0.01411143,0.01715243,0.008013001,0.012453715,0.012061715,0.017930144,0.010165572,0.017144715,0.015131287,0.00489543,0.009386144,0.015602858,0.007032287,0.015773572,0.010980001,0.004779287,0.014243572
